geoName,MRSA,Typhoid Fever,MAC,Chlamydia,Pathogenic Fungi
Laredo TX,1,0,94,5,0
Las Vegas NV,1,0,96,3,0
Lexington KY,4,0,93,3,0
Lima OH,5,0,91,4,0
Lincoln & Hastings-Kearney NE,3,0,95,2,0
Little Rock-Pine Bluff AR,2,0,93,5,0
Loir-et-Cher,0,0,98,2,0
Loire,0,0,98,2,0
Loire-Atlantique,0,0,99,1,0
Loiret,0,0,98,2,0
Los Angeles CA,1,0,97,2,0
Lot,0,0,99,1,0
Lot-et-Garonne,0,0,98,2,0
Louisville KY,4,0,93,3,0
Lozère,0,0,100,0,0
Lubbock TX,1,0,95,4,0
Macon GA,2,0,93,5,0
Madison WI,2,0,95,3,0
Maine-et-Loire,0,0,98,2,0
Manche,0,0,99,1,0
Mankato MN,2,0,95,3,0
Marne,0,0,98,2,0
Marquette MI,4,0,93,3,0
Mayenne,0,0,99,1,0
Medford-Klamath Falls OR,3,0,95,2,0
Memphis TN,2,0,94,4,0
Meridian MS,0,0,93,7,0
Meurthe-et-Moselle,0,0,98,2,0
Meuse,0,0,100,0,0
Miami-Ft. Lauderdale FL,2,0,95,3,0
Milwaukee WI,2,0,95,3,0
Minneapolis-St. Paul MN,2,0,96,2,0
Minot-Bismarck-Dickinson(Williston) ND,4,0,92,4,0
Missoula MT,2,0,96,2,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,2,0,94,4,0
Monroe LA-El Dorado AR,2,0,91,7,0
Monterey-Salinas CA,1,0,98,1,0
Montgomery (Selma) AL,3,0,92,5,0
Morbihan,0,0,98,2,0
Moselle,0,0,99,1,0
Nashville TN,3,0,94,3,0
New Orleans LA,2,0,94,4,0
New York NY,1,0,97,2,0
Nievre,0,0,98,2,0
Nord,0,0,98,2,0
Norfolk-Portsmouth-Newport News VA,2,0,94,4,0
North Platte NE,0,0,100,0,0
Odessa-Midland TX,2,0,94,4,0
Oise,0,0,98,2,0
Oklahoma City OK,3,0,94,3,0
Omaha NE,3,0,94,3,0
Orlando-Daytona Beach-Melbourne FL,3,0,94,3,0
Orne,0,0,98,2,0
Ottumwa IA-Kirksville MO,3,0,93,4,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,4,0,92,4,0
Palm Springs CA,2,0,95,3,0
Panama City FL,3,0,94,3,0
Paris,0,0,98,2,0
Parkersburg WV,6,0,89,5,0
Pas-de-Calais,0,0,98,2,0
